Block Id, Timestamp
502282,2012-04-06 00:04:47.587
363121,2012-04-06 00:20:49.586
847042,2012-04-06 00:24:38.845
542302,2012-04-06 00:33:47.875
562231,2012-04-06 00:40:02.462
363122,2012-04-06 00:52:59.496
363132,2012-04-06 01:09:26.419
363131,2012-04-06 01:28:07.705
363131,2012-04-06 01:29:04.166
363131,2012-04-06 01:41:34.048
363132,2012-04-06 01:44:18.212
363122,2012-04-06 01:44:31.47
363131,2012-04-06 01:46:21.564
363131,2012-04-06 01:56:47.553
363131,2012-04-06 01:59:38.938
363131,2012-04-06 02:18:57.755
363121,2012-04-06 02:30:20.213
363132,2012-04-06 04:01:39.512
363132,2012-04-06 04:17:14.481
363132,2012-04-06 04:18:30.348
363122,2012-04-06 07:20:41.25
325052,2012-04-06 08:00:25.645
585032,2012-04-06 08:00:40.931
363132,2012-04-06 08:01:12.564
363131,2012-04-06 08:01:47.353
363121,2012-04-06 08:07:10.775
363131,2012-04-06 08:15:34.002
363131,2012-04-06 08:18:48.597
363121,2012-04-06 08:21:47.983
847041,2012-04-06 08:24:35.637
363132,2012-04-06 08:28:07.11
363131,2012-04-06 08:33:52.18
363132,2012-04-06 08:34:32.448
363131,2012-04-06 08:34:40.161
363132,2012-04-06 08:35:20.49
363122,2012-04-06 08:36:19.043
363131,2012-04-06 08:41:05.633
847042,2012-04-06 08:49:05.194
363131,2012-04-06 09:00:56.304
363131,2012-04-06 09:03:00.509
363131,2012-04-06 09:03:40.058
847041,2012-04-06 09:09:27.194
363131,2012-04-06 09:25:18.766
585061,2012-04-06 09:27:11.744
363131,2012-04-06 09:27:12.556
363131,2012-04-06 09:31:51.822
363132,2012-04-06 09:35:04.384
363131,2012-04-06 09:36:30.806
363122,2012-04-06 09:39:52.657
363121,2012-04-06 09:40:43.963
363121,2012-04-06 09:44:42.666
363131,2012-04-06 09:45:08.427
363132,2012-04-06 09:49:19.855
363122,2012-04-06 09:50:20.077
363122,2012-04-06 09:51:04.216
847041,2012-04-06 09:53:46.02
363132,2012-04-06 09:55:17.156
363131,2012-04-06 10:07:25.192
